id,user_name,repo_name
8817945,cgtyky,spotify-lyrics
24500147,rcpzen,ruby-tutorial
24878421,damla,ruby-tutorial
24878421,damla,project_euler
30438258,mertcenkk,spotify-lyrics
34101442,ersinaksar,file-editor
48323786,bahadiraraz,Counter-Strike-Global-Offensive
48323786,bahadiraraz,ruby-tutorial
48323786,bahadiraraz,bahadiraraz
48323786,bahadiraraz,project_euler
48323786,bahadiraraz,file-editor
48323786,bahadiraraz,pyqtCuwi
48323786,bahadiraraz,spotify-lyrics
49458946,blalyasar,ruby-tutorial
52383970,mustafadede,ruby-tutorial
54551308,lazypwny751,ruby-tutorial
56193503,furkankapukayaa,spotify-lyrics
63648462,WormerKing,ruby-tutorial
64807786,Qarb0n,ruby-tutorial
64807786,Qarb0n,pyqtCuwi
69302858,woosal1337,ruby-tutorial
69302858,woosal1337,Counter-Strike-Global-Offensive
69461171,myygunduz,pyqtCuwi
69461171,myygunduz,ruby-tutorial
70816926,0xberkay,spotify-lyrics
71541356,Pranav-Saxena,spotify-lyrics
73267902,BASSEM-HABIB,spotify-lyrics
73438714,mehmet-mert,file-editor
73438714,mehmet-mert,ruby-tutorial
73438714,mehmet-mert,spotify-lyrics
74717043,Owl-planet,spotify-lyrics
75902079,zypylmzz,spotify-lyrics
75902079,zypylmzz,ruby-tutorial
75902079,zypylmzz,taskforce
76966989,zbetulaltundal,spotify-lyrics
79521131,Yussufkadir,spotify-lyrics
79521131,Yussufkadir,project_euler
79521131,Yussufkadir,file-editor
80406488,EmreSubasi,spotify-lyrics
80406488,EmreSubasi,Counter-Strike-Global-Offensive
80406488,EmreSubasi,project-euler-pull
80406488,EmreSubasi,awesome-readme
80406488,EmreSubasi,project_euler
80406488,EmreSubasi,file-editor
81674297,innominata00,project_euler
81674297,innominata00,file-editor
83665978,Codhit,bahadiraraz
83665978,Codhit,awesome-readme
83665978,Codhit,spotify-lyrics
83665978,Codhit,taskforce
83665978,Codhit,Counter-Strike-Global-Offensive
83665978,Codhit,file-editor
83665978,Codhit,project-euler-pull
83665978,Codhit,cpython
83665978,Codhit,project_euler
83665978,Codhit,pyqt5-custom-widgets
83665978,Codhit,ruby-tutorial
83666889,Self-awarehamster,file-editor
83666889,Self-awarehamster,spotify-lyrics
83666889,Self-awarehamster,project_euler
85285027,AlperBayraktar,ruby-tutorial
85673259,tugbajoyoy,project_euler
85673259,tugbajoyoy,file-editor
85673259,tugbajoyoy,spotify-lyrics
85678233,4hMet7,spotify-lyrics
85680509,osmanmercann,spotify-lyrics
86234403,miihrisah,spotify-lyrics
86234403,miihrisah,project_euler
86234403,miihrisah,file-editor
86234403,miihrisah,Counter-Strike-Global-Offensive
86978234,dolpsoft,ruby-tutorial
86978234,dolpsoft,spotify-lyrics
86978234,dolpsoft,file-editor
88054958,nurgulunll,ruby-tutorial
88269976,Tuttifruttti,spotify-lyrics
